question,references,corpus_id
What is the default behavior regarding the running of validators as specified in the setter function in the attrs library?,"[{""content"": ""__all__ = [\""get_run_validators\"", \""set_run_validators\""]\n\n_run_validators = True"", ""start_index"": 487108, ""end_index"": 487186}, {""content"": ""def set_run_validators(run):\n    \""\""\""\n    Set whether or not validators are run.  By default, they are run.\n\n    .. deprecated:: 21.3.0 It will not be removed, but it also will not be\n        moved to new ``attrs`` namespace. Use `attrs.validators.set_disabled()`\n        instead.\n    \""\""\""\n    if not isinstance(run, bool):\n        msg = \""'run' must be bool.\""\n        raise TypeError(msg)\n    global _run_validators\n    _run_validators = run"", ""start_index"": 487189, ""end_index"": 487628}]",attrs
What happens if a default value has already been set for an attribute when using the default decorator in the _CountingAttr class?,"[{""content"": ""def default(self, meth):\n        \""\""\""\n        Decorator that allows to set the default for an attribute.\n\n        Returns *meth* unchanged.\n\n        Raises:\n            DefaultAlreadySetError: If default has been set before.\n\n        .. versionadded:: 17.1.0\n        \""\""\""\n        if self._default is not NOTHING:\n            raise DefaultAlreadySetError\n\n        self._default = Factory(meth, takes_self=True)\n\n        return meth"", ""start_index"": 434053, ""end_index"": 434481}]",attrs
What exceptions are captured by the `test_abort_exceptions_with_disabled_standalone_mode` function during the command execution?,"[{""content"": ""@pytest.mark.parametrize(\""exc\"", (EOFError, KeyboardInterrupt))\ndef test_abort_exceptions_with_disabled_standalone_mode(runner, exc):\n    @click.command()\n    def cli():\n        raise exc(\""catch me!\"")\n\n    rv = runner.invoke(cli, standalone_mode=False)\n    assert rv.exit_code == 1\n    assert isinstance(rv.exception.__cause__, exc)\n    assert rv.exception.__cause__.args == (\""catch me!\"",)"", ""start_index"": 132454, ""end_index"": 132842}]",click
How does the `C` class in the `test_converts_and_validates_by_default` method ensure that the 'x' attribute value is an integer not less than 10?,"[{""content"": ""\""\""\""\n        If no on_setattr is set, assume setters.convert, setters.validate.\n        \""\""\""\n\n        @attrs.define\n        class C:\n            x: int = attrs.field(converter=int)\n\n            @x.validator\n            def _v(self, _, value):\n                if value < 10:\n                    raise ValueError(\""must be >=10\"")\n\n        inst = C(10)\n\n        # Converts\n        inst.x = \""11\""\n\n        assert 11 == inst.x\n\n        # Validates\n        with pytest.raises(ValueError, match=\""must be >=10\""):\n            inst.x = \""9\"""", ""start_index"": 290677, ""end_index"": 291202}]",attrs
How does the test_named_tuple_retain_type method ensure that namedtuples can be serialized with retain_collection_types set to True?,"[{""content"": ""\""\""\""\n        Namedtuples can be serialized if retain_collection_types is True.\n\n        See #1164\n        \""\""\""\n\n        class Coordinates(NamedTuple):\n            lat: float\n            lon: float\n\n        @attr.s\n        class A:\n            coords: Coordinates = attr.ib()\n\n        instance = A(Coordinates(50.419019, 30.516225))\n\n        assert (Coordinates(50.419019, 30.516225),) == attr.astuple(\n            instance, retain_collection_types=True\n        )"", ""start_index"": 19998, ""end_index"": 20458}]",attrs
What are the conditions and respective values for setting the 'default_map' attribute in the given context configuration code?,"[{""content"": ""self.obj: t.Any = obj\n        self._meta: dict[str, t.Any] = getattr(parent, \""meta\"", {})\n\n        #: A dictionary (-like object) with defaults for parameters.\n        if (\n            default_map is None\n            and info_name is not None\n            and parent is not None\n            and parent.default_map is not None\n        ):\n            default_map = parent.default_map.get(info_name)\n\n        self.default_map: cabc.MutableMapping[str, t.Any] | None = default_map"", ""start_index"": 266758, ""end_index"": 267232}]",click
How does the provided code snippet handle an incomplete option in a shell command?,"[{""content"": ""def _start_of_option(ctx: Context, value: str) -> bool:\n    \""\""\""Check if the value looks like the start of an option.\""\""\""\n    if not value:\n        return False\n\n    c = value[0]\n    return c in ctx._opt_prefixes"", ""start_index"": 514744, ""end_index"": 514954}, {""content"": ""def _is_incomplete_option(ctx: Context, args: list[str], param: Parameter) -> bool:\n    \""\""\""Determine if the given parameter is an option that needs a value.\n\n    :param args: List of complete args before the incomplete value.\n    :param param: Option object being checked.\n    \""\""\""\n    if not isinstance(param, Option):\n        return False\n\n    if param.is_flag or param.count:\n        return False\n\n    last_option = None\n\n    for index, arg in enumerate(reversed(args)):\n        if index + 1 > param.nargs:\n            break\n\n        if _start_of_option(ctx, arg):\n            last_option = arg\n\n    return last_option is not None and last_option in param.opts"", ""start_index"": 514957, ""end_index"": 515619}]",click
What error is raised if both `default` and `factory` are specified for an attribute in the `attr.ib` method?,"[{""content"": ""    def test_sugar_factory_mutex(self):\n        \""\""\""\n        Passing both default and factory raises ValueError.\n        \""\""\""\n        with pytest.raises(ValueError, match=\""mutually exclusive\""):\n\n            @attr.s\n            class C:\n                x = attr.ib(factory=list, default=Factory(list))"", ""start_index"": 98663, ""end_index"": 98961}]",attrs
What type of error does `test_fails_because_success` method expect to raise if the wrapped validator `always_passes` does not fail?,"[{""content"": ""        with pytest.raises(ValueError) as e:\n            v(1, a, input_value)"", ""start_index"": 180608, ""end_index"": 180685}, {""content"": ""        assert (\n            (\n                f\""not_ validator child '{always_passes!r}' did not raise a captured error\""\n            ),\n            a,\n            always_passes,\n            input_value,\n            self.DEFAULT_EXC_TYPES,\n        ) == e.value.args"", ""start_index"": 180687, ""end_index"": 180952}]",attrs
How does the function `_collect_base_attrs` handle attribute collection from base classes differently compared to `_collect_base_attrs_broken`?,"[{""content"": ""def _collect_base_attrs(\n    cls, taken_attr_names\n) -> tuple[list[Attribute], dict[str, type]]:\n    \""\""\""\n    Collect attr.ibs from base classes of *cls*, except *taken_attr_names*.\n    \""\""\""\n    base_attrs = []\n    base_attr_map = {}  # A dictionary of base attrs to their classes.\n\n    # Traverse the MRO and collect attributes.\n    for base_cls in reversed(cls.__mro__[1:-1]):\n        for a in getattr(base_cls, \""__attrs_attrs__\"", []):\n            if a.inherited or a.name in taken_attr_names:\n                continue\n\n            a = a.evolve(inherited=True)  # noqa: PLW2901\n            base_attrs.append(a)\n            base_attr_map[a.name] = base_cls\n\n    # For each name, only keep the freshest definition i.e. the furthest at the\n    # back.  base_attr_map is fine because it gets overwritten with every new\n    # instance.\n    filtered = []\n    seen = set()\n    for a in reversed(base_attrs):\n        if a.name in seen:\n            continue\n        filtered.insert(0, a)\n        seen.add(a.name)\n\n    return filtered, base_attr_map"", ""start_index"": 357674, ""end_index"": 358713}, {""content"": ""def _collect_base_attrs_broken(cls, taken_attr_names):\n    \""\""\""\n    Collect attr.ibs from base classes of *cls*, except *taken_attr_names*.\n\n    N.B. *taken_attr_names* will be mutated.\n\n    Adhere to the old incorrect behavior.\n\n    Notably it collects from the front and considers inherited attributes which\n    leads to the buggy behavior reported in #428.\n    \""\""\""\n    base_attrs = []\n    base_attr_map = {}  # A dictionary of base attrs to their classes.\n\n    # Traverse the MRO and collect attributes.\n    for base_cls in cls.__mro__[1:-1]:\n        for a in getattr(base_cls, \""__attrs_attrs__\"", []):\n            if a.name in taken_attr_names:\n                continue\n\n            a = a.evolve(inherited=True)  # noqa: PLW2901\n            taken_attr_names.add(a.name)\n            base_attrs.append(a)\n            base_attr_map[a.name] = base_cls\n\n    return base_attrs, base_attr_map"", ""start_index"": 358716, ""end_index"": 359603}]",attrs
